Year,Median household income,zipcode
2011,50612,93657
2011,26033,93660
2011,43760,93662
2011,83750,93664
2011,27786,93665
2011,30625,93666
2011,61357,93667
2011,25852,93668
2011,2500,93669
2011,39375,93673
2011,44779,93675
2011,20253,93701
2011,28881,93702
2011,31545,93703
2011,50564,93704
2011,34264,93705
2011,28100,93706
2011,44012,93710
2011,69961,93711
2011,78231,93720
2011,20718,93721
2011,56594,93722
2011,62442,93723
2011,38198,93725
2011,36191,93726
2011,44773,93727
2011,32462,93728
2011,115524,93730
2011,51035,93901
2011,40211,93905
2011,57837,93906
2011,74523,93907
2011,113750,93908
2011,52250,93920
2011,76567,93921
2011,92244,93923
2011,82921,93924
2011,53462,93925
2011,52654,93926
2011,54105,93927
2011,77560,93928
2011,54899,93930
2011,93750,93932
2011,53318,93933
2011,65314,93940
2011,,93943
2011,70211,93950
2011,119663,93953
2011,38125,93954
2011,58243,93955
2011,54263,93960
2011,73287,93962
2011,100125,94002
2011,79129,94005
2011,100528,94010
2011,70689,94014
2011,78609,94015
2011,98036,94019
2011,135481,94020
2011,89083,94021
2011,156526,94022
2011,166125,94024
2011,111154,94025
2011,240833,94027
2011,162727,94028
2011,83992,94030
2011,140408,94037
2011,104219,94038
2011,93517,94040
2011,85724,94041
2011,91760,94043
2011,93469,94044
2011,89886,94060
2011,74097,94061
2011,121658,94062
2011,52220,94063
2011,131897,94065
2011,77509,94066
2011,119777,94070
2011,86705,94074
2011,75717,94080
2011,88324,94085
2011,91233,94086
2011,105848,94087
2011,81631,94089
2011,22159,94102
2011,42801,94103
2011,25568,94104
2011,120257,94105
2011,113974,94107
2011,33191,94108
2011,58106,94109
2011,76963,94110
2011,92446,94111
2011,72467,94112
2011,111815,94114
2011,72429,94115
2011,83657,94116
2011,85151,94117
2011,74967,94118
2011,77612,94121
2011,79441,94122
2011,104485,94123
2011,46025,94124
2011,138003,94127
2011,,94128
2011,118110,94129
2011,35417,94130
2011,92755,94131
2011,69560,94132
2011,50378,94133
2011,57075,94134
2011,68214,94158
2011,135817,94301
2011,73895,94303
2011,101316,94304
2011,60682,94305
2011,112230,94306
2011,72452,94401
2011,109093,94402
2011,89205,94403
2011,112271,94404
2011,69572,94501
2011,113650,94502
2011,83176,94503
2011,102328,94505
2011,166335,94506
2011,150457,94507
2011,66912,94508
2011,55018,94509
2011,90539,94510
2011,30409,94511
2011,95521,94512
2011,87486,94513
2011,70783,94514
2011,56786,94515
2011,85833,94516
2011,124042,94517
2011,71770,94518
2011,70773,94519
2011,46565,94520
2011,79040,94521
2011,79128,94523
2011,76278,94525
2011,121462,94526
2011,153860,94528
2011,83472,94530
2011,93113,94531
2011,57469,94533
2011,97934,94534
2011,56667,94535
2011,84840,94536
2011,81408,94538
2011,138578,94539
2011,54943,94541
2011,84649,94542
2011,61291,94544
2011,67975,94545
2011,72128,94546
2011,94653,94547
2011,61875,94548
2011,132802,94549
2011,101448,94550
2011,93427,94551
2011,134256,94552
2011,73426,94553
2011,108791,94555
2011,123974,94556
2011,69783,94558
2011,58808,94559
2011,81777,94560
2011,77435,94561
2011,157400,94563
2011,80042,94564
2011,55614,94565
2011,118306,94566
2011,56420,94567
2011,111545,94568
2011,91429,94569
2011,57599,94571
2011,65984,94572
2011,59783,94573
2011,79806,94574
2011,,94575
2011,71250,94576
2011,62539,94577
2011,52512,94578
2011,66489,94579
2011,70208,94580
2011,135818,94582
2011,115551,94583
2011,71050,94585
2011,74375,94586
2011,82634,94587
2011,120432,94588
2011,59967,94589
2011,43944,94590
2011,76019,94591
2011,72917,94592
2011,61209,94595
2011,79181,94596
2011,83036,94597
2011,117229,94598
2011,68889,94599
2011,36949,94601
2011,71213,94602
2011,39045,94603
2011,54210,94605
2011,37985,94606
2011,34091,94607
2011,52934,94608
2011,47049,94609
2011,71656,94610
2011,100667,94611
2011,26213,94612
2011,,94613
2011,113523,94618
2011,73938,94619
2011,32628,94621
2011,55581,94702
2011,52000,94703
2011,33066,94704
2011,90645,94705
2011,73330,94706
2011,129688,94707
2011,140863,94708
2011,56670,94709
2011,45125,94710
2011,24010,94720
2011,42636,94801
2011,71626,94803
2011,50346,94804
2011,63507,94805
2011,52354,94806
2011,,94850
2011,70296,94901
2011,82631,94903
2011,98638,94904
2011,138068,94920
2011,29955,94922
2011,74563,94923
2011,65341,94924
2011,106541,94925
2011,56988,94928
2011,153490,94929
2011,99015,94930
2011,64670,94931
2011,74309,94933
2011,52798,94937
2011,90167,94938
2011,91408,94939
2011,35156,94940
2011,105935,94941
2011,82380,94945
2011,128125,94946
2011,81889,94947
2011,81505,94949
2011,2500,94950
2011,95272,94951
2011,75666,94952
2011,77022,94954
2011,76204,94956
2011,127417,94957
2011,104802,94960
2011,103807,94963
2011,79183,94964
2011,92781,94965
2011,79402,94970
2011,101111,94971
2011,125511,94972
2011,87604,94973
2011,83203,95002
2011,78492,95003
2011,84038,95004
2011,87750,95005
2011,83513,95006
2011,103368,95007
2011,81717,95008
2011,49511,95010
2011,50858,95012
2011,,95013
2011,122600,95014
2011,76250,95017
2011,71555,95018
2011,37107,95019
2011,78428,95020
2011,65278,95023
2011,145833,95030
2011,118713,95032
2011,121563,95033
2011,94608,95035
2011,94510,95037
2011,54457,95039
2011,52045,95041
2011,60500,95043
2011,63750,95045
2011,71928,95046
2011,62921,95050
2011,96065,95051
2011,,95053
2011,115344,95054
2011,64330,95060
2011,60632,95062
2011,50170,95064
2011,79949,95065
2011,108750,95066
2011,153563,95070
2011,70091,95073
2011,77500,95075
2011,54586,95076
2011,65212,95110
2011,61411,95111
2011,48364,95112
2011,46313,95113
2011,48283,95116
2011,64009,95117
2011,84077,95118
2011,113584,95119
2011,145429,95120
2011,82745,95121
2011,55476,95122
2011,83949,95123
2011,104794,95124
2011,89394,95125
2011,67760,95126
2011,66526,95127
2011,61728,95128
2011,102682,95129
2011,95965,95130
2011,104694,95131
2011,91625,95132
2011,73431,95133
2011,101539,95134
2011,111797,95135
2011,85864,95136
2011,139779,95138
2011,90476,95139
2011,58750,95140
2011,106299,95148
2011,14452,95202
2011,38600,95203
2011,45935,95204
2011,31747,95205
2011,46465,95206
2011,39973,95207
2011,73622,95209
2011,41901,95210
2011,,95211
2011,61940,95212
2011,44830,95215
2011,75088,95219
2011,52386,95220
2011,50401,95222
2011,53023,95223
2011,24265,95224
2011,60938,95225
2011,,95226
2011,104583,95227
2011,63289,95228
2011,34667,95230
2011,42128,95231
2011,51838,95232
2011,11731,95233
2011,,95234
2011,69359,95236
2011,41486,95237
2011,40871,95240
2011,68042,95242
2011,60143,95245
2011,46929,95246
2011,51349,95247
2011,22386,95248
2011,37926,95249
2011,,95250
2011,75760,95251
2011,70048,95252
2011,47010,95254
2011,38909,95255
2011,41914,95257
2011,65612,95258
2011,45550,95301
2011,58250,95303
2011,73684,95304
2011,12303,95305
2011,26389,95306
2011,45749,95307
2011,38500,95310
2011,36603,95311
2011,74250,95312
2011,34919,95313
2011,,95314
2011,49704,95315
2011,66324,95316
2011,33636,95317
2011,70272,95318
2011,25516,95319
2011,57143,95320
2011,49369,95321
2011,44758,95322
2011,54688,95323
2011,54014,95324
2011,,95325
2011,54938,95326
2011,35995,95327
2011,36779,95328
2011,78333,95329
2011,64758,95330
2011,39531,95333
2011,45307,95334
2011,75907,95335
2011,56835,95336
2011,65427,95337
2011,49899,95338
2011,47554,95340
2011,32690,95341
2011,29583,95345
2011,49333,95346
2011,43821,95348
2011,45036,95350
2011,31913,95351
2011,37659,95354
2011,56262,95355
2011,62657,95356
2011,54982,95357
2011,49345,95358
2011,47478,95360
2011,65248,95361
2011,59616,95363
2011,,95364
2011,35034,95365
2011,75824,95366
2011,59762,95367
2011,72355,95368
2011,54063,95369
2011,47366,95370
2011,57457,95372
2011,50275,95374
2011,22467,95375
2011,62360,95376
2011,100414,95377
2011,43672,95379
2011,39503,95380
2011,63588,95382
2011,50708,95383
2011,36339,95385
2011,53037,95386
2011,44813,95387
2011,34232,95388
2011,62245,95389
2011,96230,95391
2011,55744,95401
2011,57901,95403
2011,66706,95404
2011,68410,95405
2011,56773,95407
2011,66041,95409
2011,14799,95410
2011,52500,95412
2011,40931,95415
2011,17083,95417
2011,78750,95420
2011,58250,95421
2011,28908,95422
2011,41738,95423
2011,57407,95425
2011,71176,95426
2011,16938,95427
2011,27010,95428
2011,68250,95429
2011,,95430
2011,,95431
2011,34612,95432
2011,,95435
2011,50355,95436
2011,40830,95437
2011,42596,95439
2011,60375,95441
2011,80308,95442
2011,32887,95443
2011,71596,95444
2011,50020,95445
2011,43049,95446
2011,69855,95448
2011,39720,95449
2011,51875,95450
2011,47027,95451
2011,63199,95452
2011,42191,95453
2011,35375,95454
2011,51771,95456
2011,47989,95457
2011,26710,95458
2011,35625,95459
2011,65208,95460
2011,54777,95461
2011,36094,95462
2011,,95463
2011,32674,95464
2011,73295,95465
2011,57857,95466
2011,59081,95467
2011,43889,95468
2011,62917,95469
2011,58600,95470
2011,40435,95471
2011,74576,95472
2011,58212,95476
2011,47274,95482
2011,35393,95485
2011,27344,95486
2011,24032,95488
2011,43485,95490
2011,77745,95492
2011,78906,95493
2011,108542,95494
2011,57227,95497
2011,37598,95501
2011,46670,95503
2011,30188,95511
2011,26307,95514
2011,46923,95519
2011,35151,95521
2011,65000,95524
2011,53750,95525
2011,25750,95526
2011,23875,95527
2011,41875,95528
2011,38427,95531
2011,50745,95536
2011,50298,95537
2011,39161,95540
2011,41978,95542
2011,55653,95543
2011,82639,95545
2011,26818,95546
2011,52917,95547
2011,30927,95548
2011,56136,95549
2011,75491,95550
2011,47569,95551
2011,29625,95552
2011,27269,95553
2011,37868,95554
2011,28036,95555
2011,47419,95556
2011,29653,95558
2011,18542,95559
2011,28357,95560
2011,39240,95562
2011,40441,95563
2011,47361,95564
2011,51953,95565
2011,35288,95567
2011,50833,95568
2011,30750,95569
2011,41402,95570
2011,13824,95571
2011,27411,95573
2011,21890,95585
2011,,95587
2011,48750,95589
2011,32014,95595
2011,52162,95601
2011,61505,95602
2011,57114,95603
2011,,95604
2011,37487,95605
2011,80221,95606
2011,80069,95607
2011,54015,95608
2011,54563,95610
2011,56250,95612
2011,82738,95614
2011,47031,95615
2011,50795,95616
2011,80989,95618
2011,54221,95619
2011,72201,95620
2011,54549,95621
2011,64107,95623
2011,76652,95624
2011,73188,95625
2011,64650,95626
2011,64306,95627
2011,72232,95628
2011,63203,95629
2011,95251,95630
2011,62286,95631
2011,60853,95632
2011,63958,95633
2011,55357,95634
2011,80465,95635
2011,32365,95636
2011,76667,95637
2011,86995,95638
2011,48214,95639
2011,68375,95640
2011,34091,95641
2011,50938,95642
2011,47877,95645
2011,37813,95646
2011,74114,95648
2011,84819,95650
2011,52447,95651
2011,44531,95652
2011,37614,95653
2011,78345,95655
2011,62782,95658
2011,52083,95659
2011,43834,95660
2011,68927,95661
2011,68632,95662
2011,123281,95663
2011,84375,95664
2011,59018,95665
2011,54460,95666
2011,62981,95667
2011,87563,95668
2011,58917,95669
2011,58288,95670
2011,108000,95672
2011,57759,95673
2011,77375,95674
2011,31544,95675
2011,69983,95677
2011,63507,95678
2011,,95679
2011,,95680
2011,67813,95681
2011,78021,95682
2011,98438,95683
2011,48873,95684
2011,54881,95685
2011,39750,95686
2011,72575,95687
2011,81398,95688
2011,75740,95689
2011,59038,95690
2011,60905,95691
2011,64139,95692
2011,93258,95693
2011,64554,95694
2011,57733,95695
2011,28929,95697
2011,68167,95698
2011,21172,95699
2011,64167,95701
2011,81250,95703
2011,63990,95709
2011,66743,95713
2011,51683,95714
2011,60938,95715
2011,61667,95717
2011,47917,95720
2011,,95721
2011,73292,95722
2011,,95724
2011,57753,95726
2011,39211,95728
2011,45417,95735
2011,85655,95736
2011,93347,95742
2011,127637,95746
2011,84706,95747
2011,87795,95757
2011,72276,95758
2011,116109,95762
2011,87694,95765
2011,61367,95776
2011,37244,95811
2011,29393,95814
2011,32557,95815
2011,48156,95816
2011,35798,95817
2011,59042,95818
2011,80328,95819
2011,41609,95820
2011,42488,95821
