AREA_NAME,Year,Population,Unemployment_rate,Median_household_income,Crimes_per_month
Northeast,2015,589228.0,8.700000000000001,61375.73684210526,854.9166666666666
Northeast,2016,589939.0,8.031578947368422,64202.94736842105,866.0
Northeast,2017,594284.0,7.263157894736843,66661.47368421052,876.8333333333334
Northeast,2018,593771.0,6.4105263157894745,70459.78947368421,857.3333333333334
Northeast,2019,591212.0,5.810526315789474,75194.57894736843,801.8333333333334
Northeast,2020,679380.0,12.379893908347233,68324.06535520416,692.8333333333334
Northeast,2021,676361.0,10.652466851368544,77311.5308121122,722.2
Olympic,2010,446054.0,10.0841022064245,52364.96551280562,729.5833333333334
Olympic,2011,390264.0,8.48,60636.6,664.75
Olympic,2012,389002.0,8.709999999999999,60664.4,708.25
Olympic,2013,391124.0,9.39,63359.2,690.75
Olympic,2014,394023.0,8.600000000000001,63087.6,761.9166666666666
Olympic,2015,396232.0,7.730000000000001,64335.8,819.9166666666666
Olympic,2016,395601.0,6.539999999999999,67272.9,881.1666666666666
Olympic,2017,396481.0,5.529999999999999,70122.2,927.6666666666666
Olympic,2018,393554.0,4.57,73625.5,916.0
Olympic,2019,390602.0,4.319999999999999,76100.0,849.3333333333334
Olympic,2020,454932.0,10.324199878006036,70390.77976528867,787.8333333333334
Olympic,2021,452911.0,8.88361384851682,79650.10440202395,802.2
Pacific,2010,854379.0,11.199142995667907,58763.49722181102,923.8333333333334
Pacific,2011,740759.0,8.6,70175.61904761905,864.25
Pacific,2012,745909.0,9.100000000000001,69871.23809523809,856.0833333333334
Pacific,2013,749008.0,9.609523809523811,69889.66666666667,842.0833333333334
Pacific,2014,753416.0,9.176190476190476,69966.57142857143,894.1666666666666
Pacific,2015,756424.0,8.319047619047618,70995.09523809524,977.1666666666666
Pacific,2016,757815.0,7.676190476190477,73737.09523809524,981.5833333333334
Pacific,2017,758056.0,6.580952380952381,78689.23809523809,1006.0
Pacific,2018,758410.0,5.79047619047619,82143.66666666667,1014.4166666666666
Pacific,2019,755037.0,5.1761904761904765,87097.80952380953,1019.25
Pacific,2020,871383.0,11.465789257469526,78991.90519216732,948.8333333333334
Pacific,2021,867512.0,9.865911686659823,89382.63670966597,1003.8
Rampart,2010,176013.0,14.656615213823478,30915.72080740042,725.0
Rampart,2011,152423.0,12.366666666666667,36332.0,702.4166666666666
Rampart,2012,153923.0,12.533333333333333,36085.666666666664,714.75
Rampart,2013,154326.0,12.833333333333334,36447.0,678.0833333333334
Rampart,2014,153894.0,12.433333333333332,36209.333333333336,711.0
Rampart,2015,155501.0,11.200000000000001,36598.333333333336,773.5
Rampart,2016,156101.0,9.233333333333333,38677.333333333336,766.5
Rampart,2017,156841.0,7.8999999999999995,41019.333333333336,803.0833333333334
Rampart,2018,156979.0,7.233333333333333,44747.666666666664,804.3333333333334
Rampart,2019,155726.0,6.599999999999999,48322.333333333336,791.4166666666666
Rampart,2020,179516.0,15.00558224272404,41557.97055011331,737.9166666666666
Rampart,2021,178718.0,12.911780069320685,47024.577708756224,729.8
Southeast,2010,482266.0,15.296803883032794,39092.84209691419,922.5
Southeast,2011,410740.0,11.839999999999998,47633.5,920.5833333333334
Southeast,2012,412894.0,12.33,48218.0,879.3333333333334
Southeast,2013,417673.0,13.440000000000001,47331.8,848.0833333333334
Southeast,2014,423377.0,13.289999999999997,46466.5,878.4166666666666
Southeast,2015,426003.0,12.459999999999999,46403.3,925.0833333333334
Southeast,2016,429098.0,10.55,48639.2,959.0
Southeast,2017,433477.0,8.88,50526.7,987.6666666666666
Southeast,2018,434697.0,7.31,54593.4,996.25
Southeast,2019,436810.0,6.35,57303.8,974.75
Southeast,2020,491865.0,15.661013499295484,52549.936994996344,885.5833333333334
Southeast,2021,489678.0,13.47575580171937,59462.44638754892,816.4
Southwest,2010,358442.0,14.323273483067801,48723.08078003812,1137.75
Southwest,2011,314741.0,10.122222222222222,54397.0,1076.8333333333333
Southwest,2012,314366.0,9.588888888888889,55524.11111111111,1089.9166666666667
Southwest,2013,314929.0,10.733333333333333,56016.11111111111,1059.5833333333333
Southwest,2014,316934.0,9.511111111111111,56068.333333333336,1079.75
Southwest,2015,316426.0,9.744444444444447,63447.861395259,1158.1666666666667
Southwest,2016,315569.0,10.033333333333335,64320.861395259,1181.8333333333333
Southwest,2017,315501.0,9.511111111111113,66213.08361748123,1189.6666666666667
Southwest,2018,316588.0,8.811111111111112,69377.63917303678,1195.9166666666667
Southwest,2019,317049.0,8.76666666666667,72861.63917303678,1122.0
Southwest,2020,365577.0,14.664303804093228,65495.233599176645,915.0833333333334
Southwest,2021,363952.0,12.61812187794068,74110.58964546156,880.6
Topanga,2010,329778.0,10.852609929440165,67689.04080298536,826.1666666666666
Topanga,2011,279106.0,7.677777777777777,85018.55555555556,759.0
Topanga,2012,281650.0,7.877777777777776,84089.55555555556,741.9166666666666
Topanga,2013,283726.0,8.355555555555556,83536.11111111111,757.75
Topanga,2014,289152.0,9.033333333333335,81617.33333333333,730.8333333333334
Topanga,2015,293733.0,8.366666666666667,80448.77777777778,824.75
Topanga,2016,293313.0,7.355555555555554,83285.11111111111,917.3333333333334
Topanga,2017,296067.0,6.7666666666666675,86683.77777777778,900.25
Topanga,2018,297766.0,6.122222222222223,91918.88888888889,879.75
Topanga,2019,301011.0,5.5,96664.66666666667,802.4166666666666
Topanga,2020,336343.0,11.111005403950648,90989.92650957436,661.5
Topanga,2021,334846.0,9.560632556887766,102958.89845496393,627.8
Van Nuys,2010,200177.0,12.906718718239205,47308.63261950906,840.4166666666666
Van Nuys,2011,169334.0,9.28,55893.8,794.3333333333334
Van Nuys,2012,172301.0,10.040000000000001,54986.8,801.6666666666666
Van Nuys,2013,173585.0,10.74,54760.8,781.6666666666666
Van Nuys,2014,174538.0,10.58,56383.8,787.3333333333334
Van Nuys,2015,177894.0,9.719999999999999,59003.2,872.9166666666666
Van Nuys,2016,179384.0,9.059999999999999,60149.0,873.75
Van Nuys,2017,179293.0,7.9399999999999995,63101.0,899.75
Van Nuys,2018,181552.0,7.019999999999999,66367.4,870.4166666666666
Van Nuys,2019,179700.0,5.959999999999999,71051.4,795.5
Van Nuys,2020,204161.0,13.214021544863948,63593.88394712978,717.3333333333334
Van Nuys,2021,203254.0,11.370204585115491,71959.13317921331,675.4
West LA,2010,377033.0,13.063669694073385,84029.61924355137,682.8333333333334
West LA,2011,326526.0,8.580000000000002,100068.18350382206,716.75
West LA,2012,328738.0,11.046666666666669,99896.78350382207,712.1666666666666
West LA,2013,330409.0,11.459999999999999,100061.3168371554,680.5833333333334
West LA,2014,332653.0,10.233333333333333,100808.78350382207,681.25
West LA,2015,336478.0,9.253333333333336,102680.5168371554,809.1666666666666
West LA,2016,335201.0,8.246666666666666,107940.1168371554,782.75
West LA,2017,334875.0,8.006666666666668,112045.7168371554,752.3333333333334
West LA,2018,334000.0,7.213333333333333,117779.5168371554,839.8333333333334
West LA,2019,330812.0,6.906666666666666,119740.1168371554,767.5833333333334
West LA,2020,384537.0,13.374709448694182,112955.49159652213,763.6666666666666
West LA,2021,382827.0,11.508470920969412,127813.85187725278,761.4
West Valley,2010,233559.0,10.720224920479229,60594.32403263617,771.5
West Valley,2011,199007.0,8.1,74418.6,736.5
West Valley,2012,198236.0,9.5,71487.0,749.9166666666666
West Valley,2013,201271.0,9.620000000000001,72595.0,700.5
West Valley,2014,204080.0,8.58,72200.6,659.8333333333334
West Valley,2015,204868.0,7.639999999999999,73248.6,724.9166666666666
West Valley,2016,209112.0,7.279999999999999,74731.0,804.9166666666666
West Valley,2017,211915.0,5.699999999999999,81496.6,812.5
West Valley,2018,211577.0,5.38,82910.0,788.6666666666666
West Valley,2019,212327.0,5.34,90242.4,720.0833333333334
West Valley,2020,238206.0,10.975468370966832,81452.9652839125,658.0833333333334
West Valley,2021,237148.0,9.444007668041227,92167.4288926874,589.0
Wilshire,2010,214032.0,10.415022599969163,57384.65732584088,681.4166666666666
Wilshire,2011,182990.0,8.328571428571427,69582.57142857143,689.75
Wilshire,2012,183806.0,8.428571428571429,68856.28571428571,668.0833333333334
Wilshire,2013,186771.0,9.257142857142856,68117.28571428571,652.75
Wilshire,2014,190723.0,9.0,68579.14285714286,659.5
Wilshire,2015,190620.0,7.871428571428571,69587.85714285714,696.3333333333334
Wilshire,2016,192891.0,6.942857142857143,71844.71428571429,756.5
Wilshire,2017,192886.0,5.857142857142856,74650.28571428571,822.3333333333334
Wilshire,2018,190217.0,5.185714285714285,81163.28571428571,894.5
Wilshire,2019,186420.0,4.628571428571428,84176.14285714286,866.8333333333334
Wilshire,2020,218293.0,10.662999328539858,77138.42138866718,758.8333333333334
Wilshire,2021,217322.0,9.17513895711569,87285.3424482797,728.0
