Year,Unemployment_rate,Below high school,High school,College/associate degree,Bachelor's degree,zipcode
2011,10.6,0,0,0,0,92105
2011,4.9,0,0,0,0,92106
2011,8.5,0,0,0,0,92107
2011,6.9,0,0,0,0,92108
2011,8.7,0,0,0,0,92109
2011,7.8,0,0,0,0,92110
2011,10.5,0,0,0,0,92111
2011,16.6,0,0,0,0,92113
2011,10.6,0,0,0,0,92114
2011,10.9,0,0,0,0,92115
2011,8.3,0,0,0,0,92116
2011,7.7,0,0,0,0,92117
2011,5.4,0,0,0,0,92118
2011,5.5,0,0,0,0,92119
2011,8,0,0,0,0,92120
2011,3.9,0,0,0,0,92121
2011,5.9,0,0,0,0,92122
2011,9,0,0,0,0,92123
2011,6.4,0,0,0,0,92124
2011,7.5,0,0,0,0,92126
2011,5.4,0,0,0,0,92127
2011,6.3,0,0,0,0,92128
2011,8,0,0,0,0,92129
2011,5.7,0,0,0,0,92130
2011,5.1,0,0,0,0,92131
2011,0,0,0,0,0,92132
2011,0,0,0,0,0,92134
2011,0,0,0,0,0,92135
2011,11.2,0,0,0,0,92139
2011,4.8,0,0,0,0,92140
2011,1.6,0,0,0,0,92145
2011,0,0,0,0,0,92147
2011,10.8,0,0,0,0,92154
2011,33.3,0,0,0,0,92155
2011,12.4,0,0,0,0,92173
2011,14.2,0,0,0,0,92201
2011,11.3,0,0,0,0,92203
2011,7.9,0,0,0,0,92210
2011,8.8,0,0,0,0,92211
2011,10.3,0,0,0,0,92220
2011,0,0,0,0,0,92222
2011,7.4,0,0,0,0,92223
2011,15.6,0,0,0,0,92225
2011,17.9,0,0,0,0,92227
2011,15.9,0,0,0,0,92230
2011,17.7,0,0,0,0,92231
2011,10.4,0,0,0,0,92233
2011,9.8,0,0,0,0,92234
2011,17.5,0,0,0,0,92236
2011,23.8,0,0,0,0,92239
2011,16.4,0,0,0,0,92240
2011,14.5,0,0,0,0,92241
2011,11.1,0,0,0,0,92242
2011,15.6,0,0,0,0,92243
2011,15.8,0,0,0,0,92249
2011,17.2,0,0,0,0,92250
2011,15,0,0,0,0,92251
2011,13.4,0,0,0,0,92252
2011,6.3,0,0,0,0,92253
2011,34.6,0,0,0,0,92254
2011,19.8,0,0,0,0,92256
2011,15.3,0,0,0,0,92257
2011,0,0,0,0,0,92258
2011,0,0,0,0,0,92259
2011,8.5,0,0,0,0,92260
2011,10,0,0,0,0,92262
2011,10.7,0,0,0,0,92264
2011,0,0,0,0,0,92266
2011,52.2,0,0,0,0,92267
2011,20.1,0,0,0,0,92268
2011,9.6,0,0,0,0,92270
2011,9,0,0,0,0,92273
2011,20.6,0,0,0,0,92274
2011,30.7,0,0,0,0,92275
2011,9,0,0,0,0,92276
2011,14.5,0,0,0,0,92277
2011,0,0,0,0,0,92278
2011,0,0,0,0,0,92280
2011,14.9,0,0,0,0,92281
2011,12.7,0,0,0,0,92282
2011,22.7,0,0,0,0,92283
2011,11.5,0,0,0,0,92284
2011,13.2,0,0,0,0,92285
2011,20.5,0,0,0,0,92301
2011,0,0,0,0,0,92304
2011,0,0,0,0,0,92305
2011,13.1,0,0,0,0,92307
2011,15.1,0,0,0,0,92308
2011,5.8,0,0,0,0,92309
2011,25.6,0,0,0,0,92310
2011,9.5,0,0,0,0,92311
2011,8.5,0,0,0,0,92313
2011,11.4,0,0,0,0,92314
2011,9.5,0,0,0,0,92315
2011,15.9,0,0,0,0,92316
2011,8,0,0,0,0,92320
2011,0,0,0,0,0,92321
2011,27.8,0,0,0,0,92322
2011,13.8,0,0,0,0,92324
2011,10.6,0,0,0,0,92325
2011,41,0,0,0,0,92327
2011,1.8,0,0,0,0,92328
2011,0,0,0,0,0,92332
2011,32.9,0,0,0,0,92333
2011,15,0,0,0,0,92335
2011,13.2,0,0,0,0,92336
2011,13.5,0,0,0,0,92337
2011,0,0,0,0,0,92338
2011,5.6,0,0,0,0,92339
2011,31.7,0,0,0,0,92341
2011,3.6,0,0,0,0,92342
2011,18.4,0,0,0,0,92344
2011,18.4,0,0,0,0,92345
2011,10.9,0,0,0,0,92346
2011,5.4,0,0,0,0,92347
2011,9.4,0,0,0,0,92352
2011,7.9,0,0,0,0,92354
2011,24.3,0,0,0,0,92356
2011,11.4,0,0,0,0,92358
2011,6.1,0,0,0,0,92359
2011,14.7,0,0,0,0,92363
2011,0,0,0,0,0,92364
2011,16,0,0,0,0,92365
2011,18.2,0,0,0,0,92368
2011,15.6,0,0,0,0,92371
2011,21.8,0,0,0,0,92372
2011,7.1,0,0,0,0,92373
2011,9.8,0,0,0,0,92374
2011,15.2,0,0,0,0,92376
2011,12.3,0,0,0,0,92377
2011,0,0,0,0,0,92378
2011,8.6,0,0,0,0,92382
2011,40.7,0,0,0,0,92384
2011,0,0,0,0,0,92385
2011,13.1,0,0,0,0,92386
2011,0,0,0,0,0,92389
2011,19.5,0,0,0,0,92391
2011,14.3,0,0,0,0,92392
2011,14.5,0,0,0,0,92394
2011,16.6,0,0,0,0,92395
2011,6.6,0,0,0,0,92397
2011,3.6,0,0,0,0,92398
2011,11.9,0,0,0,0,92399
2011,16.7,0,0,0,0,92401
2011,16.9,0,0,0,0,92404
2011,16.3,0,0,0,0,92405
2011,13.1,0,0,0,0,92407
2011,10.5,0,0,0,0,92408
2011,15.8,0,0,0,0,92410
2011,18.4,0,0,0,0,92411
2011,14.2,0,0,0,0,92501
2011,14.2,0,0,0,0,92503
2011,12.1,0,0,0,0,92504
2011,12.9,0,0,0,0,92505
2011,8.8,0,0,0,0,92506
2011,11.5,0,0,0,0,92507
2011,9,0,0,0,0,92508
2011,17.6,0,0,0,0,92509
2011,19.2,0,0,0,0,92518
2011,15.3,0,0,0,0,92530
2011,11.9,0,0,0,0,92532
2011,10.3,0,0,0,0,92536
2011,16.7,0,0,0,0,92539
2011,20.7,0,0,0,0,92543
2011,15.3,0,0,0,0,92544
2011,14,0,0,0,0,92545
2011,22.3,0,0,0,0,92548
2011,6.8,0,0,0,0,92549
2011,16.3,0,0,0,0,92551
2011,15.4,0,0,0,0,92553
2011,11.3,0,0,0,0,92555
2011,10.8,0,0,0,0,92557
2011,22.8,0,0,0,0,92561
2011,12.4,0,0,0,0,92562
2011,10.5,0,0,0,0,92563
2011,12.8,0,0,0,0,92567
2011,21.7,0,0,0,0,92570
2011,18.6,0,0,0,0,92571
2011,18.2,0,0,0,0,92582
2011,19.9,0,0,0,0,92583
2011,13,0,0,0,0,92584
2011,16.3,0,0,0,0,92585
2011,14.9,0,0,0,0,92586
2011,12.3,0,0,0,0,92587
2011,11.8,0,0,0,0,92590
2011,12.7,0,0,0,0,92591
2011,9.2,0,0,0,0,92592
2011,11.8,0,0,0,0,92595
2011,9.1,0,0,0,0,92596
2011,5.8,0,0,0,0,92602
2011,3.4,0,0,0,0,92603
2011,6.7,0,0,0,0,92604
2011,7.4,0,0,0,0,92606
2011,6.6,0,0,0,0,92610
2011,6.2,0,0,0,0,92612
2011,7.1,0,0,0,0,92614
2011,7.1,0,0,0,0,92617
2011,7.5,0,0,0,0,92618
2011,5.6,0,0,0,0,92620
2011,10.8,0,0,0,0,92624
2011,3.5,0,0,0,0,92625
2011,6.9,0,0,0,0,92626
2011,8.6,0,0,0,0,92627
2011,6.3,0,0,0,0,92629
2011,5.9,0,0,0,0,92630
2011,9.5,0,0,0,0,92637
